Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.93468670173474,3.69150308391849,4.04786256315645,3.41822667584596,3.63251884652008,3.11995924146907,2.53571991833963,2.80833730805469,2.91080959861384,2.98438913621969,3.15360920291972,2.35609779179185,1.43570437048699,2.13559384981397
Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,2.77225647530945,2.72098204624473,2.73011584727331,2.78635819350615,2.74099739577196,2.73352397052172,2.67591983861189,2.67727931034587,2.7719868292526,2.75905656190882,2.73628313165544,2.68484883132038,2.62665871413246,2.55285936960851
Africa Western and Central,AFW,Population growth (annual %),SP.POP.GROW,2.82618879079497,2.86308116459111,2.82029989246541,2.76880017046071,2.76793027558122,2.73612176996667,2.7089556783763,2.66108668870844,2.56598948293087,2.4700607921237,2.41794516785151,2.39198885812581,2.35968049760977,2.4149012043294
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,-0.574206959244013,-0.926918061639398,-1.21579032012532,-1.14841763771287
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.9470588317966,1.9568943735315,1.99280790148967,2.01953115835273,2.03786524232338,2.05624795728459,2.05569111181654,2.03200060784518,1.93780623340147,1.84041291439333,1.71191216459393,1.61936460233826,1.58758210690673,1.49897601193923
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.541732698337665,-0.604780136721016,-0.742342325127959,-0.890369493241287,-1.00492136443654,-1.10585645130594,-1.20431808595042,-1.26938746413556,-1.32302357149178,-1.38257886328442,-0.896274880494128,-1.0829920166826,-1.81008765020754,-1.71290294190977
Andorra,AND,Population growth (annual %),SP.POP.GROW,-3.86696538756774,-3.68900236441521,-1.22756477898092,-2.15758099819573,-1.95667320426838,-2.14248382559065,0.00969831319383994,2.16803975005007,1.87885332176802,1.73050296926809,1.17775354895761,1.26362889534188,1.69676808598242,1.43374756867515
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.85109824897149,3.8879459971363,3.88358355528674,3.84998068971631,3.73272806660513,3.60507162233632,3.57644143982026,3.54061221486272,3.45323300897802,3.38788422184303,3.26795864914978,3.18132259995095,3.14302612044601,3.08065530722915
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,1.35346888620455,1.17914352935743,1.06918387987395,0.917165517536032,0.792860528793727,0.722892009464778,0.624381829779871,0.553103046635761,0.504979187034594,0.480553889847623,0.526173366134419,0.546161676855974,0.530270318994476,0.511400156215609
Arab World,ARB,Population growth (annual %),SP.POP.GROW,2.01518786871135,2.33419540096943,2.41234349549038,2.60454541373505,2.37284190270832,2.48848060268234,2.34468077710757,2.02653072107492,1.7935767154805,1.89983758184613,2.12521294081431,1.52590024157877,2.32400780343973,2.18848579312262
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.05636332156278,1.06474009749784,1.0276613644946,0.992958989681133,1.0317435786984,1.04725888735726,0.968911125580978,0.881249595012674,0.822969480473088,0.710900853077743,0.484665636741261,0.265879395046274,0.210808731072658,0.286976121920089
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.693856288987436,-0.556590762896162,-0.125578337719131,-0.0694662703047376,-0.271712284863074,-0.305729335573084,-0.410212518071397,-0.432038450211669,-0.349674218173286,-0.219168932037313,-0.0337609726366775,0.0270096898904032,0.2326562627468,0.728178919340382
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.230041095930877,0.736689418341162,1.46978228958006,1.49203139661921,1.06551209965487,1.02370103122312,0.75796755862231,0.007357607309414,0.158975971141518,0.270504632854835,-0.565684046703506,-0.82021108315363,-0.362774222330685,0.0456516784920034
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.55570626204128,1.38952731561803,1.74582000067359,1.721151439989,1.49156648912847,1.43921665259925,1.56194049810399,1.64682779735017,1.49599671041328,1.47749071058438,1.23342825131378,0.14089508329287,1.27269881377618,2.4474661688131
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.240394299500766,0.337080841831645,0.45593747231891,0.589387254692989,0.781541632525841,1.12099250236958,1.08139629872802,0.694621103604983,0.487071924768999,0.444673639004876,0.415176731565556,0.435671684056384,0.956287797076634,0.989464653969154
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,1.18978770786007,1.30300085487651,1.32876382733755,1.29344702700591,1.24820899735588,1.19120985807018,1.11785721013911,0.98126180450475,0.866316916370841,0.846646726414021,0.684365325388407,0.441197735816311,0.039507866238038,0.120242150339289
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.27841716584672,1.15016412529445,1.00108170366546,0.923627563339724,0.878822235669929,0.794122280116855,0.700545015838571,0.624247409539043,0.569969444023085,0.497339072752345,0.300555038290333,0.128749531818761,0.293483989063331,0.477303918283875
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.16585991920366,-2.76659927564461,1.1600872869288,3.59293039406627,4.78104318433597,4.15422184212278,3.82316300255316,5.29314527321994,0.131482303617889,-1.29469437720599,-0.781611308056263,2.16102845934147,1.34221960637543,3.37686417721007
